[2012-12-12 01:21:31,209]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/Charles-David-black-lizard-embossed-leather-Next-platform-sandals/p/317962701/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '317962701'), ('is_new', True)]
[2012-12-12 01:21:31,217]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/Calvin-Klein-olive-quilted-nylon-hooded-down-coat-with-faux-fur-trim/p/319388702/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '319388702'), ('is_new', False)]
[2012-12-12 01:21:31,218]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/Fendi-black-and-honey-leather-colorblock-stacked-heel-sandals/p/319169601/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '319169601'), ('is_new', False)]
[2012-12-12 01:21:31,223]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/Miu-Miu-black-patent-leather-cork-wedge-sandals/p/319974601/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '319974601'), ('is_new', False)]
[2012-12-12 01:21:31,224]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/Tommy-Hilfiger-hilfiger-by-tommy-hilfiger-edt-spray-1-oz/p/321966901/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '321966901'), ('is_new', True)]
[2012-12-12 01:21:31,231]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/Calvin-Klein-black-faux-fur-trimmed-down-filled-coat/p/319388601/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '319388601'), ('is_new', True)]
[2012-12-12 01:21:31,232]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/ABS-by-Allen-Schwartz-ivory-and-champagne-sequined-one-shoulder-tulle-dress/p/318632801/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '318632801'), ('is_new', True)]
[2012-12-12 01:21:31,242]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/Prada-Prada-Sport-black-patent-leather-bow-detail-ballerina-flats/p/321266501/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '321266501'), ('is_new', False)]
[2012-12-12 01:21:31,243]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/Prada-Prada-Sport-black-leather-striped-sole-sneakers/p/319853401/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '319853401'), ('is_new', False)]
[2012-12-12 01:21:31,244]<crawlerlog>DEBUG:bluefly.new_listing.5a222cbc442c11e28a4622000afc0e06d58e2f94037a461394f9d9431c585e48 -> [('url', 'http://www.bluefly.com/Portolano-brown-leather-touch-screen-cashmere-lined-gloves/p/319483602/detail.fly'), ('is_updated', False), ('obj_type', 'Product'), ('key', '319483602'), ('is_new', False)]
